R00005	R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R00134	R00134	formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+
R00135	R00135	Peptide + H2O <=> L-Proline + Peptide
R00137	R00137	ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
R00139	R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP
R00143	R00143	ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+
R00148	R00148	ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone
R00149	R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate
R00150	R00150	ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O
R00152	R00152	hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate
R00155	R00155	UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate
R00156	R00156	ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP
R00157	R00157	Uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP
R00158	R00158	ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP
R00159	R00159	UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate
R00160	R00160	FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN
R00161	R00161	ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD
R00173	R00173	pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate
R00174	R00174	ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
R00177	R00177	ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
R00178	R00178	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2
R00179	R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine
R00181	R00181	AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia
R00182	R00182	AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate
R00183	R00183	adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate
R00184	R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP
R00185	R00185	ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP
R00187	R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP
R00188	R00188	adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate
R00189	R00189	deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+
R00190	R00190	AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
R00191	R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP
R00192	R00192	S-Adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
R00194	R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine
R00196	R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00197	R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
R00199	R00199	ATP:pyruvate,water phosphotransferase; ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate
R00200	R00200	ATP:pyruvate 2-O-phosphotransferase; ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
R00203	R00203	pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase; Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+
R00206	R00206	ATP:pyruvate,phosphate phosphotransferase; ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate
R00207	R00207	Pyruvate:oxygen 2-oxidoreductase (phosphorylating); Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2
R00209	R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex; Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
R00212	R00212	Acetyl-CoA:formate C-acetyltransferase; Acetyl-CoA + Formate <=> CoA + Pyruvate
R00214	R00214	(S)-malate:NAD+ oxidoreductase (decarboxylating); (S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
R00215	R00215	(R)-Malate:NAD+ oxidoreductase (decarboxylating); (R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
R00216	R00216	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating); (S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+
R00217	R00217	oxaloacetate carboxy-lyase (pyruvate-forming); Oxaloacetate <=> Pyruvate + CO2
R00220	R00220	L-serine ammonia-lyase; L-Serine <=> Pyruvate + Ammonia
R00221	R00221	D-serine ammonia-lyase; D-Serine <=> Pyruvate + Ammonia
R00226	R00226	pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating); (S)-2-Acetolactate + CO2 <=> 2 Pyruvate
R00227	R00227	Acetyl-CoA hydrolase; Acetyl-CoA + H2O <=> CoA + Acetate
R00228	R00228	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating); Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+
R00229	R00229	acetate:CoA ligase (ADP-forming); ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate
R00230	R00230	acetyl-CoA:phosphate acetyltransferase; Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate
R00233	R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming); Malonyl-CoA <=> Acetyl-CoA + CO2
R00235	R00235	Acetate:CoA ligase (AMP-forming); ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
R00236	R00236	acetyl adenylate:CoA acetyltransferase; Acetyl adenylate + CoA <=> AMP + Acetyl-CoA
R00237	R00237	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming); (3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate
R00238	R00238	acetyl-CoA:acetyl-CoA C-acetyltransferase; 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA
R00239	R00239	ATP:L-glutamate 5-phosphotransferase; ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate
R00243	R00243	L-glutamate:NAD+ oxidoreductase (deaminating); L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+
R00245	R00245	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase; L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+
R00248	R00248	L-glutamate:NADP+ oxidoreductase (deaminating); L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+
R00251	R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing); ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate
R00253	R00253	L-Glutamate:ammonia ligase (ADP-forming); ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine
R00256	R00256	L-glutamine amidohydrolase; L-Glutamine + H2O <=> L-Glutamate + Ammonia
R00257	R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming); ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate
R00258	R00258	L-Alanine:2-oxoglutarate aminotransferase; L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate
R00259	R00259	acetyl-CoA:L-glutamate N-acetyltransferase; Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate
R00260	R00260	glutamate racemase; L-Glutamate <=> D-Glutamate
R00261	R00261	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming); L-Glutamate <=> 4-Aminobutanoate + CO2
R00262	R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase; L-threo-3-Methylaspartate <=> L-Glutamate
R00264	R00264	2,5-dioxopentanoate:NADP+ 5-oxidoreductase; 2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+
R00267	R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating); Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+
R00268	R00268	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming); Oxalosuccinate <=> 2-Oxoglutarate + CO2
R00269	R00269	2-oxoglutaramate amidohydrolase; 2-Oxoglutaramate + H2O <=> 2-Oxoglutarate + Ammonia
R00271	R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming); Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA
R00274	R00274	glutathione:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + 2 Glutathione <=> Glutathione disulfide + 2 H2O
R00277	R00277	pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating); Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide
R00278	R00278	pyridoxine 5-phosphate:oxygen oxidoreductase; Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate
R00282	R00282	NADPH:acceptor oxidoreductase; Acceptor + NADPH + H+ <=> Reduced acceptor + NADP+
R00286	R00286	UDP-glucose:NAD+ 6-oxidoreductase; UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+
R00287	R00287	UDP-glucose glucophosphohydrolase; UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate
R00289	R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase; UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose
R00291	R00291	UDP-glucose 4-epimerase; UDP-alpha-D-glucose 4-epimerase; UDP-glucose <=> UDP-alpha-D-galactose
R00292	R00292	UDP-glucose:glycogen 4-alpha-D-glucosyltransferase; UDP-glucose + Amylose <=> UDP + Amylose
R00293	R00293	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming); UDP-glucose <=> UDP-4-dehydro-6-deoxy-D-glucose + H2O
R00294	R00294	nitrous-oxide:ferricytochrome-c oxidoreductase; 2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O
R00295	R00295	trithionate: (acceptor) oxidoreductase; Trithionate + HO- + Acceptor + 2 H2O <=> Reduced acceptor + 3 HSO3-
R00299	R00299	ATP:D-glucose 6-phosphotransferase; ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate
R00303	R00303	D-Glucose-6-phosphate phosphohydrolase; D-Glucose 6-phosphate + H2O <=> D-Glucose + Orthophosphate
R00305	R00305	D-glucose:quinone 1-oxidoreductase; D-Glucose + Quinone <=> D-Glucono-1,5-lactone + Hydroquinone
R00308	R00308	1,3-beta-D-Glucan glucanohydrolase; 1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan
R00310	R00310	protoheme ferro-lyase (protoporphyrin-forming); Protoporphyrin + Fe2+ <=> Heme + 2 H+
R00311	R00311	protoheme,NADPH---hemoprotein reductase:oxygen oxidoreductase (alpha-methene-oxidizing, hydroxylating); Heme + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Biliverdin + CO + Fe2+ + 3 [Oxidized NADPH---hemoprotein reductase] + 3 H2O
R00315	R00315	ATP:acetate phosphotransferase; ATP + Acetate <=> ADP + Acetyl phosphate
R00316	R00316	ATP:acetate adenylyltransferase; ATP + Acetate <=> Diphosphate + Acetyl adenylate
R00317	R00317	Acetyl phosphate phosphohydrolase; Acetyl phosphate + H2O <=> Acetate + Orthophosphate
R00318	R00318	Phosphonoacetate phosphonohydrolase; Phosphonoacetate + H2O <=> Acetate + Orthophosphate
R00319	R00319	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating); (S)-Lactate + Oxygen <=> Acetate + CO2 + H2O
R00328	R00328	GDP phosphohydrolase; GDP + H2O <=> GMP + Orthophosphate
R00330	R00330	ATP:GDP phosphotransferase; ATP + GDP <=> ADP + GTP
R00332	R00332	ATP:GMP phosphotransferase; ATP + GMP <=> ADP + GDP
R00333	R00333	nucleoside-triphosphate:AMP phosphotransferase; Nucleoside triphosphate + AMP <=> NDP + ADP
R00335	R00335	GTP phosphohydrolase; GTP + H2O <=> GDP + Orthophosphate
R00336	R00336	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase; Guanosine 3',5'-bis(diphosphate) + H2O <=> GDP + Diphosphate
R00339	R00339	(R,R)-tartrate hydro-lyase (oxaloacetate-forming); (R,R)-Tartaric acid <=> Oxaloacetate + H2O
R00341	R00341	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); ATP + Oxaloacetate <=> ADP + Phosphoenolpyruvate + CO2
R00342	R00342	(S)-malate:NAD+ oxidoreductase; (S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+
R00343	R00343	(S)-malate:NADP+ oxidoreductase; (S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+
R00344	R00344	Pyruvate:carbon-dioxide ligase (ADP-forming); ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate
R00345	R00345	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming); Orthophosphate:oxaloacetate carboxyl-lyase (phosphorylating); Orthophosphate + Oxaloacetate <=> H2O + Phosphoenolpyruvate + CO2
R00346	R00346	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming); pyrophosphate:oxaloacetate carboxy-lyase (transphosphorylating); Diphosphate + Oxaloacetate <=> Orthophosphate + Phosphoenolpyruvate + CO2
R00348	R00348	2-oxosuccinamate amidohydrolase; 2-Oxosuccinamate + H2O <=> Oxaloacetate + Ammonia
R00350	R00350	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming); 4-Carboxy-4-hydroxy-2-oxoadipate <=> Oxaloacetate + Pyruvate
R00351	R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing); Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate
R00352	R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]; ATP + Citrate + CoA <=> ADP + Orthophosphate + Acetyl-CoA + Oxaloacetate
R00353	R00353	malonyl-CoA:pyruvate carboxytransferase; Malonyl-CoA + Pyruvate <=> Acetyl-CoA + Oxaloacetate
R00354	R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming); (3S)-Citryl-CoA <=> Acetyl-CoA + Oxaloacetate
R00355	R00355	L-Aspartate:2-oxoglutarate aminotransferase; L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate
R00357	R00357	L-Aspartic acid:oxygen oxidoreductase (deaminating); L-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
R00359	R00359	D-Aspartate:oxygen oxidoreductase (deaminating); D-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide
R00360	R00360	(S)-Malate:oxygen oxidoreductase; (S)-Malate + Oxygen <=> Oxaloacetate + Hydrogen peroxide
R00361	R00361	(S)-malate:quinone oxidoreductase; (S)-Malate + Quinone <=> Oxaloacetate + Hydroquinone
R00362	R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate); Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate); Citrate <=> Acetate + Oxaloacetate
R00366	R00366	glycine:oxygen oxidoreductase (deaminating); Aminoacetic acid:oxygen oxidoreductase (deaminating); Glycine + H2O + Oxygen <=> Glyoxylate + Ammonia + Hydrogen peroxide
R00367	R00367	S-Adenosyl-L-methionine:glycine N-methyltransferase; S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine
R00369	R00369	L-Alanine:glyoxylate aminotransferase; L-Alanine + Glyoxylate <=> Pyruvate + Glycine
R00371	R00371	Acetyl-CoA:glycine C-acetyltransferase; Acetyl-CoA + Glycine <=> CoA + L-2-Amino-3-oxobutanoic acid
R00372	R00372	Glycine:2-oxoglutarate aminotransferase; Glycine + 2-Oxoglutarate <=> Glyoxylate + L-Glutamate
R00374	R00374	glycine:acceptor oxidoreductase (cyanide-forming); Glycine + 2 Acceptor <=> Cyanide ion + CO2 + 2 Reduced acceptor + H+
R00375	R00375	Deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dATP + DNA <=> Diphosphate + DNA
R00376	R00376	Deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dGTP + DNA <=> Diphosphate + DNA
R00377	R00377	Deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dCTP + DNA <=> Diphosphate + DNA
R00378	R00378	deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dTTP + DNA <=> Diphosphate + DNA
R00381	R00381	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming); ATP + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Diphosphate + DNA(n+m)
R00382	R00382	(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming, NMN-forming); NAD+ + DNA(n) + 5'-Phospho-DNA(m) <=> AMP + Nicotinamide D-ribonucleotide + DNA(n+m)
R00391	R00391	Acyl-CoA:acetyl-CoA C-acyltransferase; Acyl-CoA + Acetyl-CoA <=> CoA + 3-Oxoacyl-CoA
R00396	R00396	L-alanine:NAD+ oxidoreductase (deaminating); L-Alanine + NAD+ + H2O <=> Pyruvate + Ammonia + NADH + H+
R00397	R00397	L-aspartate 4-carboxy-lyase (L-alanine-forming); L-Aspartate <=> L-Alanine + CO2
R00401	R00401	alanine racemase; L-Alanine <=> D-Alanine
R00402	R00402	succinate:NAD+ oxidoreductase; Succinate + NAD+ <=> Fumarate + NADH + H+
